dataset,model,accuracy_mean,accuracy_std,n
digits,cnn,0.9516666666666665,0.0050460839234958525,5
digits,hebbian_oja,0.6916666666666667,0.06073114196965402,5
digits,logistic_regression,0.9555555555555555,0.0,5
digits,mlp,0.9716666666666667,0.004564354645876302,5
digits,mlp_dropout,0.9683333333333334,0.005046083923495754,5
digits,pca_features_linear,0.95,0.0,5
digits,random_features_linear,0.9772222222222222,0.004120110270608693,5
digits,sparse_hebbian_oja,0.3583333333333333,0.10971343143406388,5
fashion_mnist,cnn,0.3406,0.037731750555732226,5
fashion_mnist,hebbian_oja,0.14582,0.027530292406728992,5
fashion_mnist,logistic_regression,0.79352,0.0034549963820531024,5
fashion_mnist,mlp,0.8115,0.0024576411454889013,5
fashion_mnist,mlp_dropout,0.7059,0.005185556864985666,5
fashion_mnist,pca_features_linear,0.313,0.10495117912629662,5
fashion_mnist,random_features_linear,0.6023400000000001,0.01844581253293008,5
fashion_mnist,sparse_hebbian_oja,0.10058,0.0021288494545176344,5
mnist,cnn,0.24681999999999998,0.0789929870304953,5
mnist,hebbian_oja,0.21526,0.0739132802681629,5
mnist,logistic_regression,0.8966,0.001479864858694873,5
mnist,mlp,0.9149200000000001,0.0010084641788383243,5
mnist,mlp_dropout,0.8499000000000001,0.0029681644159311434,5
mnist,pca_features_linear,0.28403999999999996,0.09629256461430445,5
mnist,random_features_linear,0.68502,0.021655876800536145,5
mnist,sparse_hebbian_oja,0.11743999999999999,0.028991947157788477,5
