dataset,model,train_time_mean,train_time_std,param_count_mean,mac_ops_mean,params,macs
fashion_mnist,cnn,21.93729648590088,0.4731628618459267,105866.0,,,
fashion_mnist,hebbian_oja,5.449398565292358,0.3958198356695168,101642.0,12195840000.0,,
fashion_mnist,logistic_regression,1.8643052101135251,0.0425926619439183,7850.0,940800000.0,,
fashion_mnist,mlp,0.7629517078399658,0.0157353696690221,101770.0,12195840000.0,,
fashion_mnist,mlp_dropout,1.035786247253418,0.012363497003986,101770.0,12195840000.0,,
fashion_mnist,pca_features_linear,2.1005632400512697,3.0630869260932365,50826.0,6097920000.0,,
fashion_mnist,random_features_linear,1.0202484607696534,0.0532273338020334,203274.0,24391680000.0,,
fashion_mnist,sparse_hebbian_oja,7.421536207199097,0.3066273499870446,101642.0,12195840000.0,,
mnist,cnn,22.01156611442566,0.4662024348483165,105866.0,,,
mnist,hebbian_oja,5.378495693206787,0.4004612100072789,101642.0,12195840000.0,,
mnist,logistic_regression,1.864999008178711,0.0210739786130045,7850.0,940800000.0,,
mnist,mlp,0.7579505920410157,0.0208473319768165,101770.0,12195840000.0,,
mnist,mlp_dropout,1.036386251449585,0.0331627990671479,101770.0,12195840000.0,,
mnist,pca_features_linear,2.1055509090423583,3.0017260846867666,50826.0,6097920000.0,,
mnist,random_features_linear,1.0521337985992432,0.0377439414178587,203274.0,24391680000.0,,
mnist,sparse_hebbian_oja,7.615345621109009,0.3796636305629999,101642.0,12195840000.0,,
digits,cnn,0.8857627868652344,0.0187471293392691,,,6586.0,
digits,hebbian_oja,0.3603929042816162,0.07348004293210506,,,4746.0,
digits,logistic_regression,0.05505704879760735,0.016917891594630755,,,650.0,
digits,mlp,0.516523790359497,0.07511787768199944,,,9610.0,
digits,mlp_dropout,0.4888831615447998,0.014807421102830396,,,9610.0,
digits,sparse_hebbian_oja,0.3326677799224853,0.013101963264965637,,,4746.0,
