dataset,model,mean,sd,n,ci95_low,ci95_high
digits,compact_cnn,0.9516666666666665,0.00504608392349586,5,0.9454011259269469,0.9579322074063862
digits,hebbian_oja,0.6916666666666667,0.06073114196965402,5,0.6162589941131457,0.7670743392201876
digits,homeostatic_sparse_oja,0.8150000000000001,0.020469037141045046,5,0.7895843335040688,0.8404156664959314
digits,logistic_regression,0.9555555555555555,1.2412670766236366e-16,5,0.9555555555555554,0.9555555555555556
digits,mlp,0.9716666666666667,0.004564354645876301,5,0.965999271827848,0.9773340615054854
digits,mlp_dropout,0.9683333333333334,0.005046083923495753,5,0.9620677925936139,0.9745988740730529
digits,pca_features_linear,0.95,0.0,5,0.95,0.95
digits,random_features_linear,0.9772222222222222,0.0041201102706086385,5,0.9721064296305779,0.9823380148138665
digits,sparse_hebbian_oja,0.35833333333333334,0.10971343143406388,5,0.22210611540225905,0.4945605512644076
digits,standard_cnn,0.9738888888888887,0.006394924685122998,5,0.9659485411361469,0.9818292366416305
fashion_mnist,compact_cnn,0.3406,0.037731750555732226,5,0.2937498437457424,0.3874501562542576
fashion_mnist,hebbian_oja,0.14582,0.02753029240672899,5,0.11163662705854216,0.18000337294145785
fashion_mnist,homeostatic_sparse_oja,0.24653999999999998,0.12403827231947404,5,0.09252614286151456,0.4005538571384854
fashion_mnist,logistic_regression,0.79352,0.003454996382053085,5,0.7892300553784805,0.7978099446215196
fashion_mnist,mlp,0.8115,0.0024576411454889017,5,0.8084484354691421,0.8145515645308579
fashion_mnist,mlp_dropout,0.7059,0.0051855568649856725,5,0.6994612807301089,0.712338719269891
fashion_mnist,pca_features_linear,0.313,0.10495117912629662,5,0.1826858993098431,0.44331410069015686
fashion_mnist,random_features_linear,0.6023400000000001,0.018445812532930067,5,0.579436498660245,0.6252435013397551
fashion_mnist,sparse_hebbian_oja,0.10058,0.0021288494545176288,5,0.09793668427472974,0.10322331572527027
fashion_mnist,standard_cnn,0.8372399999999999,0.005317236124153229,5,0.8306377793346903,0.8438422206653095
mnist,compact_cnn,0.24681999999999998,0.0789929870304953,5,0.1487372518936571,0.34490274810634286
mnist,hebbian_oja,0.21526,0.0739132802681629,5,0.12348454090187747,0.3070354590981226
mnist,homeostatic_sparse_oja,0.16824,0.02166178662991582,5,0.14134333940486188,0.19513666059513812
mnist,logistic_regression,0.8966,0.0014798648586948932,5,0.8947625050827516,0.8984374949172483
mnist,mlp,0.9149200000000001,0.001008464178838311,5,0.9136678263356585,0.9161721736643417
mnist,mlp_dropout,0.8499000000000001,0.0029681644159311425,5,0.8462145371039889,0.8535854628960113
mnist,pca_features_linear,0.28403999999999996,0.09629256461430447,5,0.1644769892237084,0.4036030107762915
mnist,random_features_linear,0.68502,0.021655876800536152,5,0.6581306774272381,0.7119093225727618
mnist,sparse_hebbian_oja,0.11743999999999999,0.028991947157788484,5,0.08144174297634808,0.15343825702365188
mnist,standard_cnn,0.97394,0.0019269146322553768,5,0.9715474194735165,0.9763325805264835
