dataset,model,seed,accuracy
digits,logistic_regression,0,0.9555555555555556
digits,mlp,0,0.9694444444444444
digits,mlp_dropout,0,0.975
digits,cnn,0,0.95
digits,hebbian_oja,0,0.6388888888888888
digits,sparse_hebbian_oja,0,0.35
digits,logistic_regression,1,0.9555555555555556
digits,mlp,1,0.975
digits,mlp_dropout,1,0.9694444444444444
digits,cnn,1,0.9583333333333334
digits,hebbian_oja,1,0.6277777777777778
digits,sparse_hebbian_oja,1,0.25
digits,logistic_regression,2,0.9555555555555556
digits,mlp,2,0.9777777777777777
digits,mlp_dropout,2,0.9611111111111111
digits,cnn,2,0.9555555555555556
digits,hebbian_oja,2,0.7555555555555555
digits,sparse_hebbian_oja,2,0.35555555555555557
digits,logistic_regression,3,0.9555555555555556
digits,mlp,3,0.9666666666666667
digits,mlp_dropout,3,0.9666666666666667
digits,cnn,3,0.9472222222222222
digits,hebbian_oja,3,0.7527777777777778
digits,sparse_hebbian_oja,3,0.5388888888888889
digits,logistic_regression,4,0.9555555555555556
digits,mlp,4,0.9694444444444444
digits,mlp_dropout,4,0.9694444444444444
digits,cnn,4,0.9472222222222222
digits,hebbian_oja,4,0.6833333333333333
digits,sparse_hebbian_oja,4,0.2972222222222222
