dataset,model,seed,time,params
digits,logistic_regression,0,0.06690096855163574,650
digits,mlp,0,0.3946666717529297,9610
digits,mlp_dropout,0,0.4761013984680176,9610
digits,cnn,0,0.8983235359191895,6586
digits,hebbian_oja,0,0.48773884773254395,4746
digits,sparse_hebbian_oja,0,0.334989070892334,4746
digits,logistic_regression,1,0.05424380302429199,650
digits,mlp,1,0.592249870300293,9610
digits,mlp_dropout,1,0.494459867477417,9610
digits,cnn,1,0.9115853309631348,6586
digits,hebbian_oja,1,0.34833359718322754,4746
digits,sparse_hebbian_oja,1,0.34534144401550293,4746
digits,logistic_regression,2,0.0729074478149414,650
digits,mlp,2,0.5029294490814209,9610
digits,mlp_dropout,2,0.49452781677246094,9610
digits,cnn,2,0.8652732372283936,6586
digits,hebbian_oja,2,0.31139636039733887,4746
digits,sparse_hebbian_oja,2,0.32331395149230957,4746
digits,logistic_regression,3,0.02903580665588379,650
digits,mlp,3,0.5494539737701416,9610
digits,mlp_dropout,3,0.47164273262023926,9610
digits,cnn,3,0.8760008811950684,6586
digits,hebbian_oja,3,0.309401273727417,4746
digits,sparse_hebbian_oja,3,0.31540369987487793,4746
digits,logistic_regression,4,0.05219721794128418,650
digits,mlp,4,0.5433189868927002,9610
digits,mlp_dropout,4,0.5076839923858643,9610
digits,cnn,4,0.8776309490203857,6586
digits,hebbian_oja,4,0.3450944423675537,4746
digits,sparse_hebbian_oja,4,0.34429073333740234,4746
