dataset,model,seed,sparsity
digits,mlp,0,0.22430555555555556
digits,mlp_dropout,0,0.3814670138888889
digits,cnn,0,0.14141348379629629
digits,hebbian_oja,0,0.4398003472222222
digits,sparse_hebbian_oja,0,0.90625
digits,mlp,1,0.1706814236111111
digits,mlp_dropout,1,0.4347005208333333
digits,cnn,1,0.14952256944444445
digits,hebbian_oja,1,0.441796875
digits,sparse_hebbian_oja,1,0.90625
digits,mlp,2,0.2532769097222222
digits,mlp_dropout,2,0.43461371527777776
digits,cnn,2,0.19040798611111112
digits,hebbian_oja,2,0.4403211805555556
digits,sparse_hebbian_oja,2,0.90625
digits,mlp,3,0.22623697916666666
digits,mlp_dropout,3,0.4777560763888889
digits,cnn,3,0.22358940972222222
digits,hebbian_oja,3,0.3838975694444444
digits,sparse_hebbian_oja,3,0.90625
digits,mlp,4,0.2835720486111111
digits,mlp_dropout,4,0.3884765625
digits,cnn,4,0.1709490740740741
digits,hebbian_oja,4,0.3230034722222222
digits,sparse_hebbian_oja,4,0.90625
