dataset,seed,feature_source,readout,accuracy,feature_sparsity,feature_train_time_s,readout_train_time_s,n_train_readout,n_test,hidden_dim,local_epochs,status,error
digits,0,oja,logreg,0.9638888888888888,0.3305772569444444,0.0579211711883544,0.9094557762145996,1437.0,360.0,128.0,5.0,ok,
digits,0,oja,ridge,0.9694444444444444,0.3305772569444444,0.0579211711883544,0.0048956871032714,1437.0,360.0,128.0,5.0,ok,
digits,0,oja,linear_svm,0.9722222222222222,0.3305772569444444,0.0579211711883544,0.2127385139465332,1437.0,360.0,128.0,5.0,ok,
digits,0,oja,knn5,0.9472222222222222,0.3305772569444444,0.0579211711883544,0.8709042072296143,1437.0,360.0,128.0,5.0,ok,
digits,0,oja,small_mlp,0.9055555555555556,0.3305772569444444,0.0579211711883544,0.3411333560943603,1437.0,360.0,128.0,5.0,ok,
digits,0,sparse_oja,logreg,0.8,0.8984375,0.1550607681274414,1.1995980739593506,1437.0,360.0,128.0,5.0,ok,
digits,0,sparse_oja,ridge,0.7666666666666667,0.8984375,0.1550607681274414,0.0033373832702636,1437.0,360.0,128.0,5.0,ok,
digits,0,sparse_oja,linear_svm,0.8444444444444444,0.8984375,0.1550607681274414,0.0959317684173584,1437.0,360.0,128.0,5.0,ok,
digits,0,sparse_oja,knn5,0.7861111111111111,0.8984375,0.1550607681274414,0.6964144706726074,1437.0,360.0,128.0,5.0,ok,
digits,0,sparse_oja,small_mlp,0.4888888888888889,0.8984375,0.1550607681274414,0.3478507995605469,1437.0,360.0,128.0,5.0,ok,
digits,0,homeostatic_sparse_oja,logreg,0.825,0.8984375,0.1493012905120849,1.022362470626831,1437.0,360.0,128.0,5.0,ok,
digits,0,homeostatic_sparse_oja,ridge,0.7638888888888888,0.8984375,0.1493012905120849,0.0797500610351562,1437.0,360.0,128.0,5.0,ok,
digits,0,homeostatic_sparse_oja,linear_svm,0.8611111111111112,0.8984375,0.1493012905120849,0.0160615444183349,1437.0,360.0,128.0,5.0,ok,
digits,0,homeostatic_sparse_oja,knn5,0.775,0.8984375,0.1493012905120849,0.9040606021881104,1437.0,360.0,128.0,5.0,ok,
digits,0,homeostatic_sparse_oja,small_mlp,0.4416666666666666,0.8984375,0.1493012905120849,0.2014873027801513,1437.0,360.0,128.0,5.0,ok,
digits,0,raw_pixels,logreg,0.9555555555555556,0.0,7.104873657226562e-05,0.1046867370605468,1437.0,360.0,128.0,5.0,ok,
digits,0,raw_pixels,ridge,0.9388888888888888,0.0,7.104873657226562e-05,0.0022692680358886,1437.0,360.0,128.0,5.0,ok,
digits,0,raw_pixels,linear_svm,0.9666666666666668,0.0,7.104873657226562e-05,0.0178530216217041,1437.0,360.0,128.0,5.0,ok,
digits,0,raw_pixels,knn5,0.9833333333333332,0.0,7.104873657226562e-05,0.7867722511291504,1437.0,360.0,128.0,5.0,ok,
digits,0,raw_pixels,small_mlp,0.9472222222222222,0.0,7.104873657226562e-05,0.0851619243621826,1437.0,360.0,128.0,5.0,ok,
digits,0,mlp_hidden,logreg,0.9611111111111112,0.4275173611111111,1.1134295463562012,0.1015393733978271,1437.0,360.0,128.0,5.0,ok,
digits,0,mlp_hidden,ridge,0.9527777777777776,0.4275173611111111,1.1134295463562012,0.0039575099945068,1437.0,360.0,128.0,5.0,ok,
digits,0,mlp_hidden,linear_svm,0.9805555555555556,0.4275173611111111,1.1134295463562012,0.1994428634643554,1437.0,360.0,128.0,5.0,ok,
digits,0,mlp_hidden,knn5,0.9694444444444444,0.4275173611111111,1.1134295463562012,0.788454532623291,1437.0,360.0,128.0,5.0,ok,
digits,0,mlp_hidden,small_mlp,0.9305555555555556,0.4275173611111111,1.1134295463562012,0.2224459648132324,1437.0,360.0,128.0,5.0,ok,
digits,0,standard_cnn_penultimate,logreg,0.8916666666666667,0.3289930555555556,0.3688971996307373,0.1131575107574462,1437.0,360.0,128.0,5.0,ok,
digits,0,standard_cnn_penultimate,ridge,0.9333333333333332,0.3289930555555556,0.3688971996307373,0.0838651657104492,1437.0,360.0,128.0,5.0,ok,
digits,0,standard_cnn_penultimate,linear_svm,0.9416666666666668,0.3289930555555556,0.3688971996307373,0.1287930011749267,1437.0,360.0,128.0,5.0,ok,
digits,0,standard_cnn_penultimate,knn5,0.9638888888888888,0.3289930555555556,0.3688971996307373,0.7760131359100342,1437.0,360.0,128.0,5.0,ok,
digits,0,standard_cnn_penultimate,small_mlp,0.8277777777777777,0.3289930555555556,0.3688971996307373,0.228081464767456,1437.0,360.0,128.0,5.0,ok,
digits,1,oja,logreg,0.9611111111111112,0.3842230902777778,0.0638372898101806,1.19938325881958,1437.0,360.0,128.0,5.0,ok,
digits,1,oja,ridge,0.9694444444444444,0.3842230902777778,0.0638372898101806,0.0039203166961669,1437.0,360.0,128.0,5.0,ok,
digits,1,oja,linear_svm,0.9833333333333332,0.3842230902777778,0.0638372898101806,0.2072269916534423,1437.0,360.0,128.0,5.0,ok,
digits,1,oja,knn5,0.9611111111111112,0.3842230902777778,0.0638372898101806,0.7956111431121826,1437.0,360.0,128.0,5.0,ok,
digits,1,oja,small_mlp,0.9222222222222224,0.3842230902777778,0.0638372898101806,0.3473935127258301,1437.0,360.0,128.0,5.0,ok,
digits,1,sparse_oja,logreg,0.8222222222222222,0.8984375,0.4015011787414551,1.2069027423858645,1437.0,360.0,128.0,5.0,ok,
digits,1,sparse_oja,ridge,0.7944444444444444,0.8984375,0.4015011787414551,0.0040061473846435,1437.0,360.0,128.0,5.0,ok,
digits,1,sparse_oja,linear_svm,0.8361111111111111,0.8984375,0.4015011787414551,0.0927443504333496,1437.0,360.0,128.0,5.0,ok,
digits,1,sparse_oja,knn5,0.7611111111111111,0.8984375,0.4015011787414551,0.8937578201293945,1437.0,360.0,128.0,5.0,ok,
digits,1,sparse_oja,small_mlp,0.5111111111111111,0.8984375,0.4015011787414551,0.2022700309753418,1437.0,360.0,128.0,5.0,ok,
digits,1,homeostatic_sparse_oja,logreg,0.8138888888888889,0.8984375,0.2850816249847412,0.9005105495452881,1437.0,360.0,128.0,5.0,ok,
digits,1,homeostatic_sparse_oja,ridge,0.8,0.8984375,0.2850816249847412,0.003333568572998,1437.0,360.0,128.0,5.0,ok,
digits,1,homeostatic_sparse_oja,linear_svm,0.8305555555555556,0.8984375,0.2850816249847412,0.0953707695007324,1437.0,360.0,128.0,5.0,ok,
digits,1,homeostatic_sparse_oja,knn5,0.7555555555555555,0.8984375,0.2850816249847412,0.9033472537994384,1437.0,360.0,128.0,5.0,ok,
digits,1,homeostatic_sparse_oja,small_mlp,0.6277777777777778,0.8984375,0.2850816249847412,0.3276879787445068,1437.0,360.0,128.0,5.0,ok,
digits,1,raw_pixels,logreg,0.9555555555555556,0.0,8.654594421386719e-05,0.1700773239135742,1437.0,360.0,128.0,5.0,ok,
digits,1,raw_pixels,ridge,0.9388888888888888,0.0,8.654594421386719e-05,0.0026385784149169,1437.0,360.0,128.0,5.0,ok,
digits,1,raw_pixels,linear_svm,0.9666666666666668,0.0,8.654594421386719e-05,0.0192465782165527,1437.0,360.0,128.0,5.0,ok,
digits,1,raw_pixels,knn5,0.9833333333333332,0.0,8.654594421386719e-05,0.972161054611206,1437.0,360.0,128.0,5.0,ok,
digits,1,raw_pixels,small_mlp,0.9361111111111112,0.0,8.654594421386719e-05,0.0957288742065429,1437.0,360.0,128.0,5.0,ok,
digits,1,mlp_hidden,logreg,0.95,0.4502604166666666,0.0938355922698974,0.1167554855346679,1437.0,360.0,128.0,5.0,ok,
digits,1,mlp_hidden,ridge,0.9694444444444444,0.4502604166666666,0.0938355922698974,0.0841779708862304,1437.0,360.0,128.0,5.0,ok,
digits,1,mlp_hidden,linear_svm,0.9805555555555556,0.4502604166666666,0.0938355922698974,0.1187412738800048,1437.0,360.0,128.0,5.0,ok,
digits,1,mlp_hidden,knn5,0.9805555555555556,0.4502604166666666,0.0938355922698974,0.7878623008728027,1437.0,360.0,128.0,5.0,ok,
digits,1,mlp_hidden,small_mlp,0.9194444444444444,0.4502604166666666,0.0938355922698974,0.2423954010009765,1437.0,360.0,128.0,5.0,ok,
