dataset,seed,feature_source,readout,accuracy,feature_sparsity,feature_train_time_s,readout_train_time_s,train_subset_n,test_subset_n,status,error
mnist,0,oja,logreg,0.483,0.140953125,3.285745620727539,0.3784658908843994,2000,1000,ok,
mnist,0,oja,ridge,0.8,0.140953125,3.285745620727539,0.0050976276397705,2000,1000,ok,
mnist,0,oja,linear_svm,0.54,0.140953125,3.285745620727539,0.3347818851470947,2000,1000,ok,
mnist,0,oja,knn5,0.611,0.140953125,3.285745620727539,1.2566964626312256,2000,1000,ok,
mnist,0,oja,small_mlp,0.451,0.140953125,3.285745620727539,0.2480673789978027,2000,1000,ok,
mnist,0,sparse_oja,logreg,0.167,0.8984375,2.1986186504364014,0.6775922775268555,2000,1000,ok,
mnist,0,sparse_oja,ridge,0.279,0.8984375,2.1986186504364014,0.0050857067108154,2000,1000,ok,
mnist,0,sparse_oja,linear_svm,0.15,0.8984375,2.1986186504364014,0.4135270118713379,2000,1000,ok,
mnist,0,sparse_oja,knn5,0.238,0.8984375,2.1986186504364014,1.0849957466125488,2000,1000,ok,
mnist,0,sparse_oja,small_mlp,0.102,0.8984375,2.1986186504364014,0.1023471355438232,2000,1000,ok,
mnist,0,homeostatic_sparse_oja,logreg,0.184,0.8984375,2.490501642227173,0.7168529033660889,2000,1000,ok,
mnist,0,homeostatic_sparse_oja,ridge,0.293,0.8984375,2.490501642227173,0.0045230388641357,2000,1000,ok,
mnist,0,homeostatic_sparse_oja,linear_svm,0.202,0.8984375,2.490501642227173,0.3791165351867676,2000,1000,ok,
mnist,0,homeostatic_sparse_oja,knn5,0.237,0.8984375,2.490501642227173,1.1776182651519775,2000,1000,ok,
mnist,0,homeostatic_sparse_oja,small_mlp,0.101,0.8984375,2.490501642227173,0.0438334941864013,2000,1000,ok,
mnist,0,raw_pixels,logreg,0.841,0.0,0.0018777847290039,2.5178751945495605,2000,1000,ok,
mnist,0,raw_pixels,ridge,0.796,0.0,0.0018777847290039,0.2143869400024414,2000,1000,ok,
mnist,0,raw_pixels,linear_svm,0.843,0.0,0.0018777847290039,0.8015658855438232,2000,1000,ok,
mnist,0,raw_pixels,knn5,0.918,0.0,0.0018777847290039,1.4055938720703125,2000,1000,ok,
mnist,0,raw_pixels,small_mlp,0.897,0.0,0.0018777847290039,2.987839698791504,2000,1000,ok,
mnist,1,oja,logreg,0.516,0.1163828125,1.832332849502564,0.5354082584381104,2000,1000,ok,
mnist,1,oja,ridge,0.792,0.1163828125,1.832332849502564,0.0060248374938964,2000,1000,ok,
mnist,1,oja,linear_svm,0.474,0.1163828125,1.832332849502564,0.2993757724761963,2000,1000,ok,
mnist,1,oja,knn5,0.577,0.1163828125,1.832332849502564,1.2571778297424316,2000,1000,ok,
mnist,1,oja,small_mlp,0.553,0.1163828125,1.832332849502564,0.2083809375762939,2000,1000,ok,
mnist,1,sparse_oja,logreg,0.1,0.8984375,3.401333808898926,0.6351315975189209,2000,1000,ok,
mnist,1,sparse_oja,ridge,0.277,0.8984375,3.401333808898926,0.0049977302551269,2000,1000,ok,
mnist,1,sparse_oja,linear_svm,0.105,0.8984375,3.401333808898926,0.365239143371582,2000,1000,ok,
mnist,1,sparse_oja,knn5,0.186,0.8984375,3.401333808898926,1.170114040374756,2000,1000,ok,
mnist,1,sparse_oja,small_mlp,0.118,0.8984375,3.401333808898926,0.1312015056610107,2000,1000,ok,
mnist,1,homeostatic_sparse_oja,logreg,0.11,0.8984375,2.3010594844818115,0.6329495906829834,2000,1000,ok,
mnist,1,homeostatic_sparse_oja,ridge,0.281,0.8984375,2.3010594844818115,0.0045466423034667,2000,1000,ok,
mnist,1,homeostatic_sparse_oja,linear_svm,0.138,0.8984375,2.3010594844818115,0.3271474838256836,2000,1000,ok,
mnist,1,homeostatic_sparse_oja,knn5,0.195,0.8984375,2.3010594844818115,0.9111852645874025,2000,1000,ok,
mnist,1,homeostatic_sparse_oja,small_mlp,0.109,0.8984375,2.3010594844818115,0.1186275482177734,2000,1000,ok,
mnist,1,raw_pixels,logreg,0.854,0.0,0.0739083290100097,2.2625741958618164,2000,1000,ok,
mnist,1,raw_pixels,ridge,0.807,0.0,0.0739083290100097,0.2537930011749267,2000,1000,ok,
mnist,1,raw_pixels,linear_svm,0.854,0.0,0.0739083290100097,0.9050619602203368,2000,1000,ok,
mnist,1,raw_pixels,knn5,0.911,0.0,0.0739083290100097,1.4059116840362549,2000,1000,ok,
mnist,1,raw_pixels,small_mlp,0.891,0.0,0.0739083290100097,3.0847299098968506,2000,1000,ok,
mnist,2,oja,logreg,0.629,0.072015625,3.786123514175415,0.4329159259796142,2000,1000,ok,
mnist,2,oja,ridge,0.792,0.072015625,3.786123514175415,0.0053956508636474,2000,1000,ok,
mnist,2,oja,linear_svm,0.439,0.072015625,3.786123514175415,0.2626032829284668,2000,1000,ok,
mnist,2,oja,knn5,0.594,0.072015625,3.786123514175415,1.2630627155303955,2000,1000,ok,
mnist,2,oja,small_mlp,0.167,0.072015625,3.786123514175415,0.0495350360870361,2000,1000,ok,
mnist,2,sparse_oja,logreg,0.133,0.8984375,2.307697296142578,0.6657648086547852,2000,1000,ok,
mnist,2,sparse_oja,ridge,0.376,0.8984375,2.307697296142578,0.0045158863067626,2000,1000,ok,
mnist,2,sparse_oja,linear_svm,0.219,0.8984375,2.307697296142578,0.3477864265441894,2000,1000,ok,
mnist,2,sparse_oja,knn5,0.231,0.8984375,2.307697296142578,1.1590187549591064,2000,1000,ok,
mnist,2,sparse_oja,small_mlp,0.121,0.8984375,2.307697296142578,0.1186842918395996,2000,1000,ok,
mnist,2,homeostatic_sparse_oja,logreg,0.14,0.8984375,1.972054481506348,0.6347877979278564,2000,1000,ok,
mnist,2,homeostatic_sparse_oja,ridge,0.404,0.8984375,1.972054481506348,0.0047903060913085,2000,1000,ok,
mnist,2,homeostatic_sparse_oja,linear_svm,0.179,0.8984375,1.972054481506348,0.365459680557251,2000,1000,ok,
mnist,2,homeostatic_sparse_oja,knn5,0.232,0.8984375,1.972054481506348,1.1757004261016846,2000,1000,ok,
mnist,2,homeostatic_sparse_oja,small_mlp,0.12,0.8984375,1.972054481506348,0.1063032150268554,2000,1000,ok,
mnist,2,raw_pixels,logreg,0.835,0.0,0.0019657611846923,2.483933448791504,2000,1000,ok,
mnist,2,raw_pixels,ridge,0.79,0.0,0.0019657611846923,0.2165162563323974,2000,1000,ok,
mnist,2,raw_pixels,linear_svm,0.835,0.0,0.0019657611846923,0.865631103515625,2000,1000,ok,
mnist,2,raw_pixels,knn5,0.908,0.0,0.0019657611846923,1.440870761871338,2000,1000,ok,
mnist,2,raw_pixels,small_mlp,0.88,0.0,0.0019657611846923,2.488152027130127,2000,1000,ok,
mnist,3,oja,logreg,0.462,0.060203125,2.390627384185791,0.416332483291626,2000,1000,ok,
mnist,3,oja,ridge,0.827,0.060203125,2.390627384185791,0.0104651451110839,2000,1000,ok,
mnist,3,oja,linear_svm,0.538,0.060203125,2.390627384185791,0.292687177658081,2000,1000,ok,
mnist,3,oja,knn5,0.618,0.060203125,2.390627384185791,1.1609947681427002,2000,1000,ok,
mnist,3,oja,small_mlp,0.448,0.060203125,2.390627384185791,0.3275454044342041,2000,1000,ok,
mnist,3,sparse_oja,logreg,0.193,0.8984375,3.2008748054504395,0.7223520278930664,2000,1000,ok,
mnist,3,sparse_oja,ridge,0.263,0.8984375,3.2008748054504395,0.0046908855438232,2000,1000,ok,
mnist,3,sparse_oja,linear_svm,0.171,0.8984375,3.2008748054504395,0.3746919631958008,2000,1000,ok,
mnist,3,sparse_oja,knn5,0.189,0.8984375,3.2008748054504395,1.0771496295928955,2000,1000,ok,
mnist,3,sparse_oja,small_mlp,0.186,0.8984375,3.2008748054504395,0.2393226623535156,2000,1000,ok,
mnist,3,homeostatic_sparse_oja,logreg,0.104,0.8984375,2.9555306434631348,0.6831917762756348,2000,1000,ok,
mnist,3,homeostatic_sparse_oja,ridge,0.279,0.8984375,2.9555306434631348,0.0054459571838378,2000,1000,ok,
mnist,3,homeostatic_sparse_oja,linear_svm,0.148,0.8984375,2.9555306434631348,0.4008376598358154,2000,1000,ok,
mnist,3,homeostatic_sparse_oja,knn5,0.194,0.8984375,2.9555306434631348,1.2911112308502195,2000,1000,ok,
mnist,3,homeostatic_sparse_oja,small_mlp,0.152,0.8984375,2.9555306434631348,0.210345983505249,2000,1000,ok,
mnist,3,raw_pixels,logreg,0.839,0.0,0.0019941329956054,2.376950263977051,2000,1000,ok,
mnist,3,raw_pixels,ridge,0.815,0.0,0.0019941329956054,0.3564240932464599,2000,1000,ok,
mnist,3,raw_pixels,linear_svm,0.843,0.0,0.0019941329956054,0.8068094253540039,2000,1000,ok,
mnist,3,raw_pixels,knn5,0.909,0.0,0.0019941329956054,1.2982332706451416,2000,1000,ok,
mnist,3,raw_pixels,small_mlp,0.894,0.0,0.0019941329956054,2.28916335105896,2000,1000,ok,
mnist,4,oja,logreg,0.643,0.0799453125,1.8898227214813232,0.3910245895385742,2000,1000,ok,
mnist,4,oja,ridge,0.796,0.0799453125,1.8898227214813232,0.0045962333679199,2000,1000,ok,
mnist,4,oja,linear_svm,0.484,0.0799453125,1.8898227214813232,0.3243093490600586,2000,1000,ok,
mnist,4,oja,knn5,0.609,0.0799453125,1.8898227214813232,1.066791296005249,2000,1000,ok,
mnist,4,oja,small_mlp,0.466,0.0799453125,1.8898227214813232,0.2358427047729492,2000,1000,ok,
mnist,4,sparse_oja,logreg,0.2,0.8984375,2.500298023223877,0.7684934139251709,2000,1000,ok,
mnist,4,sparse_oja,ridge,0.316,0.8984375,2.500298023223877,0.0048520565032958,2000,1000,ok,
mnist,4,sparse_oja,linear_svm,0.196,0.8984375,2.500298023223877,0.3555538654327392,2000,1000,ok,
mnist,4,sparse_oja,knn5,0.207,0.8984375,2.500298023223877,1.1477091312408447,2000,1000,ok,
mnist,4,sparse_oja,small_mlp,0.164,0.8984375,2.500298023223877,0.0405452251434326,2000,1000,ok,
mnist,4,homeostatic_sparse_oja,logreg,0.183,0.8984375,2.79884934425354,0.7283151149749756,2000,1000,ok,
mnist,4,homeostatic_sparse_oja,ridge,0.332,0.8984375,2.79884934425354,0.0047712326049804,2000,1000,ok,
mnist,4,homeostatic_sparse_oja,linear_svm,0.189,0.8984375,2.79884934425354,0.3419342041015625,2000,1000,ok,
mnist,4,homeostatic_sparse_oja,knn5,0.209,0.8984375,2.79884934425354,1.2023777961730957,2000,1000,ok,
mnist,4,homeostatic_sparse_oja,small_mlp,0.156,0.8984375,2.79884934425354,0.1054770946502685,2000,1000,ok,
mnist,4,raw_pixels,logreg,0.859,0.0,0.0009891986846923,2.2336580753326416,2000,1000,ok,
mnist,4,raw_pixels,ridge,0.8,0.0,0.0009891986846923,0.3792426586151123,2000,1000,ok,
mnist,4,raw_pixels,linear_svm,0.857,0.0,0.0009891986846923,0.8390886783599854,2000,1000,ok,
