dataset,model,seed,accuracy,train_time_s,param_count,activation_sparsity,epochs
digits,homeostatic_sparse_oja,0,0.8166666666666667,0.7662596702575684,9482,0.8984375,5
digits,homeostatic_sparse_oja,1,0.8138888888888889,0.8951187133789062,9482,0.8984375,5
digits,homeostatic_sparse_oja,2,0.7916666666666666,0.9012060165405272,9482,0.8984375,5
digits,homeostatic_sparse_oja,3,0.8472222222222222,0.8982260227203369,9482,0.8984375,5
digits,homeostatic_sparse_oja,4,0.8055555555555556,0.8895342350006104,9482,0.8984375,5
mnist,homeostatic_sparse_oja,0,0.1677,27.49733018875122,101642,0.8984375,2
mnist,homeostatic_sparse_oja,1,0.189,27.881112337112427,101642,0.8984375,2
mnist,homeostatic_sparse_oja,2,0.1898,28.7365038394928,101642,0.8984375,2
mnist,homeostatic_sparse_oja,3,0.14,26.85778331756592,101642,0.8984375,2
mnist,homeostatic_sparse_oja,4,0.1547,27.14349722862244,101642,0.8984375,2
fashion_mnist,homeostatic_sparse_oja,0,0.1851,27.743815898895264,101642,0.8984375,2
fashion_mnist,homeostatic_sparse_oja,1,0.1722,27.111804962158203,101642,0.8984375,2
fashion_mnist,homeostatic_sparse_oja,2,0.4657,25.89069986343384,101642,0.8984375,2
fashion_mnist,homeostatic_sparse_oja,3,0.1857,24.58265471458435,101642,0.8984375,2
fashion_mnist,homeostatic_sparse_oja,4,0.224,30.451359510421753,101642,0.8984375,2
