dataset,feature_source,n,linear_probe_accuracy_mean,linear_probe_accuracy_std,linear_probe_accuracy_ci95_low,linear_probe_accuracy_ci95_high,silhouette_mean,silhouette_std,silhouette_ci95_low,silhouette_ci95_high,davies_bouldin_mean,davies_bouldin_std,davies_bouldin_ci95_low,davies_bouldin_ci95_high,fisher_ratio_mean,fisher_ratio_std,fisher_ratio_ci95_low,fisher_ratio_ci95_high,mean_intra_class_distance_mean,mean_intra_class_distance_std,mean_intra_class_distance_ci95_low,mean_intra_class_distance_ci95_high,mean_inter_class_distance_mean,mean_inter_class_distance_std,mean_inter_class_distance_ci95_low,mean_inter_class_distance_ci95_high,inter_intra_ratio_mean,inter_intra_ratio_std,inter_intra_ratio_ci95_low,inter_intra_ratio_ci95_high,activation_sparsity_mean,activation_sparsity_std,activation_sparsity_ci95_low,activation_sparsity_ci95_high,dead_unit_rate_mean,dead_unit_rate_std,dead_unit_rate_ci95_low,dead_unit_rate_ci95_high,mean_activation_per_unit_mean,mean_activation_per_unit_std,mean_activation_per_unit_ci95_low,mean_activation_per_unit_ci95_high,utilization_entropy_mean,utilization_entropy_std,utilization_entropy_ci95_low,utilization_entropy_ci95_high,class_selectivity_index_mean,class_selectivity_index_std,class_selectivity_index_ci95_low,class_selectivity_index_ci95_high,train_subset_n_mean,train_subset_n_std,train_subset_n_ci95_low,train_subset_n_ci95_high,test_subset_n_mean,test_subset_n_std,test_subset_n_ci95_low,test_subset_n_ci95_high
fashion_mnist,homeostatic_sparse_oja,10,0.5976,0.03485270593671476,0.5759980690575022,0.6192019309424979,-0.2110036179423332,0.033139398268871786,-0.23154362979048007,-0.1904636060941863,30.387078172098626,19.050182605418275,18.579652664551105,42.19450367964615,0.8375690330672704,0.07766076479504684,0.7894343923570087,0.885703673777532,2.095489501953125,0.0449445139987203,2.0676326035703303,2.1233464003359197,0.9841882944107055,0.14448116677570108,0.8946379394727727,1.0737386493486383,0.46924929617163613,0.06424879917114533,0.42942747787857083,0.5090711144647014,0.8984375,0.0,0.8984375,0.8984375,0.89765625,0.0024705294220065464,0.8961250000000001,0.8991875,0.9545033872127533,0.009058732507781605,0.9488887266347488,0.9601180477907578,2.56998006044583,0.015908479703660747,2.5601198825709006,2.579840238320759,0.01992592394817615,0.00268366247464781,0.018262572713538004,0.021589275182814296,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
fashion_mnist,mlp_hidden,5,0.7958000000000001,0.007529940238806687,0.7891997163697309,0.8024002836302693,0.10692407041788096,0.012297444101527255,0.0961448854013576,0.11770325543440432,2.6808224868760098,0.12615985459002577,2.5702384986052533,2.791406475146766,1.5707984115828901,0.09199244543425582,1.4901634779111752,1.651433345254605,6.051062870025635,0.14770324338527302,5.921595268884621,6.180530471166648,7.5441900253295895,0.15104852415819414,7.411790156305443,7.676589894353736,1.2472085502833519,0.033123711147903065,1.2181743373241907,1.276242763242513,0.266721875,0.041391572649235646,0.2304405619053897,0.3030031880946103,0.0953125,0.024331892972495994,0.07398465545056182,0.11664034454943817,0.9118054866790771,0.05899048786887872,0.8600980442460069,0.9635129291121474,4.6853443755726225,0.033123707184422625,4.656310166087605,4.71437858505764,0.4067979486892,0.017272652266006643,0.3916578014387454,0.4219380959396546,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
fashion_mnist,oja,10,0.7669,0.01491792359695024,0.75765377516076,0.77614622483924,-0.1269943073391914,0.022114491144925776,-0.14070101095665508,-0.11328760372172772,7.566339252902919,1.301531701471393,6.7596415466843895,8.373036959121448,0.6839692250834869,0.06193032724213832,0.6455844105798396,0.7223540395871342,7.386641597747802,0.2060292002630514,7.258943376430298,7.514339819065307,5.267548084259033,0.3431521191102875,5.054860197319861,5.480235971198206,0.7127093312717243,0.033524573473145816,0.6919305853586071,0.7334880771848415,0.12996171875,0.02610621179524061,0.11378092104106415,0.1461425164589359,0.0,0.0,0.0,0.0,7.772617292404175,0.2526363591056028,7.616031654753174,7.929202930055176,4.746912917932848,0.023701815874725352,4.732222380255019,4.761603455610677,0.2742702154442668,0.018240615645804766,0.2629645647368353,0.2855758661516982,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
fashion_mnist,raw_pixels,10,0.7649,0.015765292399586024,0.7551285705355983,0.7746714294644017,0.025858025997877083,0.003994687376792049,0.023382093110283803,0.028333958885470363,3.5412965744149134,0.13724250503341553,3.456232788507141,3.626360360322686,0.5009557363162351,0.018584743714908706,0.4894367928217915,0.5124746798106787,21.2513069152832,0.1332895442692135,21.168693199840597,21.333920630725807,23.48653221130371,0.13873591174224714,23.400542802328054,23.572521620279367,1.1052127611111346,0.008562015908913485,1.099905968670721,1.1105195535515482,0.49963622448979583,0.002264778492617129,0.49823250023703897,0.5010399487425526,0.0019132653061223997,0.001503203191297894,0.0009815703154975115,0.002844960296747288,0.286680194735527,0.0019197683959660747,0.2854903099561199,0.28787007951493415,6.460759673123812,0.002694185432117526,6.4590897996925625,6.462429546555062,0.45929248758439656,0.005295015824234267,0.4560106027751586,0.4625743723936345,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
fashion_mnist,sparse_oja,10,0.6011,0.034808843065456174,0.5795252555467689,0.622674744453231,-0.21355583369731898,0.02513649465420735,-0.22913559449530757,-0.1979760728993304,30.225458086959303,17.888049135080696,19.138330366842748,41.31258580707586,0.8302351161540091,0.06979924302475515,0.7869730971188952,0.8734971351891231,2.1048086404800417,0.05877697520112709,2.068378293820326,2.1412389871397575,0.9818789601325989,0.13400458763775475,0.8988220562185971,1.0649358640466007,0.4655482536185584,0.05159107606372382,0.43357177338768754,0.49752473384942925,0.8984375,0.0,0.8984375,0.8984375,0.89765625,0.0024705294220065464,0.8961250000000001,0.8991875,0.9595057547092438,0.008991001528687077,0.9539330742270092,0.9650784351914784,2.569510536813297,0.014423715609581703,2.5605706252581317,2.5784504483684625,0.01976010255748402,0.002606241857611842,0.018144737118432973,0.021375467996535065,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
fashion_mnist,standard_cnn_penultimate,5,0.7886,0.02165178976435896,0.7696213694909247,0.8075786305090752,0.0772515773773193,0.013013174216359218,0.06584502725419521,0.0886581275004434,3.17522566663418,0.4395256741099726,2.789964426848983,3.560486906419377,2.078421541618837,0.17965459830029545,1.9209473430650446,2.2358957401726296,4.7948205947875975,0.12058833454650497,4.689120259158525,4.90052093041667,5.585047626495362,0.17294061900970267,5.43345849026614,5.736636762724584,1.165202292557645,0.03988367327858631,1.1302427115374671,1.200161873577823,0.36052812500000003,0.03279434561024059,0.3317826136636491,0.389273636336351,0.31875,0.029439755752213706,0.29294491631964736,0.3445550836803526,0.9443543434143067,0.20585157531912784,0.7639174820642235,1.12479120476439,4.45962699294853,0.05010996772179973,4.4157036696314345,4.503550316265625,0.21561530774924903,0.012939667775378498,0.20427318886246118,0.22695742663603688,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
mnist,homeostatic_sparse_oja,10,0.32930000000000004,0.05505159196406383,0.29517866979276586,0.3634213302072342,-0.17990199029445647,0.01451825181232807,-0.188900495995138,-0.17090348459377494,66.07925562672928,88.06403585393763,11.496600710675146,120.6619105427834,0.3492817388366868,0.04620997943196749,0.32064049685231477,0.3779229808210588,2.471450352668762,0.07671431932225999,2.423902324940032,2.518998380397492,1.274289309978485,0.15760014724638033,1.176607726702696,1.3719708932542742,0.5148442042341582,0.05119943519089805,0.48311046553114473,0.5465779429371717,0.8984375,0.0,0.8984375,0.8984375,0.89765625,0.0024705294220065464,0.8961250000000001,0.8991875,0.6070962846279144,0.0034953351046193696,0.6049298534851509,0.6092627157706779,2.5698701264350747,0.015560837837357754,2.5602254192212253,2.579514833648924,0.01111908465973096,0.0020650183370492558,0.009839173034133532,0.012398996285328388,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
mnist,mlp_hidden,5,0.866,0.008000000000000007,0.8589876908225607,0.8730123091774393,0.11815225332975383,0.006046780729545207,0.11285201632928468,0.12345249033022299,2.285837362410059,0.1094887808237344,2.1898662145854444,2.381808510234674,0.9979561932523398,0.04150794974664551,0.9615728711342031,1.0343395153704764,7.515411758422852,0.10095175901181577,7.4269236401482015,7.603899876697502,9.831694221496582,0.08659422431700504,9.75579103726016,9.907597405733004,1.3083354152263371,0.015780130847719297,1.2945035206807551,1.322167309771919,0.134684375,0.016770732381133784,0.11998417992642454,0.14938457007357545,0.015625,0.0078125,0.008777041818906895,0.022472958181093107,0.5762108325958252,0.014176972634955034,0.563784168181275,0.5886374970103754,4.81451219126304,0.01289148591238361,4.80321230564126,4.825812076884819,0.3813935023732483,0.011211513073838164,0.37156617787066626,0.3912208268758304,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
mnist,oja,10,0.807,0.015958278938114395,0.7971089562397761,0.816891043760224,-0.09568317010998724,0.012175177387907424,-0.10322942323661113,-0.08813691698336334,5.720743845438812,0.5585537962642151,5.374548615820813,6.066939075056811,0.3120084844491616,0.043278102553793926,0.28518443858061526,0.338832530317708,8.63115634918213,0.17401853547986865,8.5232985434503,8.739014154913958,6.9007896900177,0.2104371466282025,6.77035939523792,7.031219984797481,0.7995523048198219,0.019705909330925947,0.7873384556771257,0.8117661539625181,0.10037812499999998,0.0242835965971595,0.08532699589456327,0.1154292541054367,0.0,0.0,0.0,0.0,4.411387252807617,0.19074329561113795,4.29316333335017,4.529611172265064,4.788121302019617,0.018407409199692065,4.7767122715964385,4.799530332442795,0.17263925166334956,0.01677733890997847,0.16224054927305823,0.1830379540536409,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
mnist,raw_pixels,10,0.8058,0.011331372379372201,0.7987767426360698,0.8128232573639301,-0.0383638840168714,0.0040725415169923194,-0.04088807140049284,-0.035839696633249964,4.140815834778774,0.12289927569581141,4.064642074517961,4.216989595039587,0.17440163558088487,0.0070909406103454795,0.17000662505687633,0.1787966461048934,20.67010040283203,0.1738456237476079,20.56234976890219,20.77785103676187,22.7075626373291,0.16781994298483213,22.603546759029296,22.811578515628906,1.0985896800229082,0.005197551422730531,1.0953682042755795,1.101811155770237,0.8056378826530611,0.0011523479111858175,0.8049236500180293,0.8063521152880929,0.2237244897959183,0.013148689393400631,0.21557484767698654,0.23187413191485007,0.133514429628849,0.0009633201347059365,0.13291735762350107,0.1341115016341969,5.886649156450469,0.008663468081371726,5.881279483302102,5.892018829598836,0.4789603886080488,0.009515225908362537,0.47306279048904065,0.48485798672705693,2000.0,0.0,2000.0,2000.0,1000.0,0.0,1000.0,1000.0
