dataset,model,seed,fraction,n_train,accuracy,status,time_sec
mnist,logistic_regression,0,0.05,3000,0.7861,completed,1.9201061725616453
mnist,mlp,0,0.05,3000,0.7822,completed,0.2466833591461181
mnist,cnn,0,0.05,3000,0.101,completed,1.2983059883117676
mnist,hebbian_oja,0,0.05,3000,0.1213,completed,1.474109172821045
mnist,sparse_hebbian_oja,0,0.05,3000,0.0974,completed,1.5082635879516602
mnist,logistic_regression,0,0.2,12000,0.8147,completed,0.9578704833984376
mnist,mlp,0,0.2,12000,0.8436,completed,0.9329426288604736
mnist,cnn,0,0.2,12000,0.101,completed,5.364975452423096
mnist,hebbian_oja,0,0.2,12000,0.0897,completed,3.8084423542022714
mnist,sparse_hebbian_oja,0,0.2,12000,0.0994,completed,3.344594955444336
mnist,logistic_regression,0,0.5,30000,0.8631,completed,1.6753709316253662
mnist,mlp,0,0.5,30000,0.8852,completed,2.420650005340576
mnist,cnn,0,0.5,30000,0.2818,completed,7.208008766174316
mnist,hebbian_oja,0,0.5,30000,0.1092,completed,4.53131628036499
mnist,sparse_hebbian_oja,0,0.5,30000,0.1212,completed,3.2915852069854736
mnist,logistic_regression,0,1.0,60000,0.8946,completed,2.5352110862731934
mnist,mlp,0,1.0,60000,0.9145,completed,2.7996160984039307
mnist,cnn,0,1.0,60000,0.3263,completed,8.740102529525757
mnist,hebbian_oja,0,1.0,60000,0.3297,completed,3.712051153182984
mnist,sparse_hebbian_oja,0,1.0,60000,0.1664,completed,3.918292284011841
mnist,logistic_regression,1,0.05,3000,0.7597,completed,0.1075167655944824
mnist,mlp,1,0.05,3000,0.7721,completed,0.1303625106811523
mnist,cnn,1,0.05,3000,0.0984,completed,0.4034192562103271
mnist,hebbian_oja,1,0.05,3000,0.0927,completed,0.9951615333557128
mnist,sparse_hebbian_oja,1,0.05,3000,0.0982,completed,1.0926053524017334
mnist,logistic_regression,1,0.2,12000,0.8256,completed,0.3563265800476074
mnist,mlp,1,0.2,12000,0.8437,completed,0.6115119457244873
mnist,cnn,1,0.2,12000,0.1327,completed,3.022379875183105
mnist,hebbian_oja,1,0.2,12000,0.0845,completed,2.216870784759521
mnist,sparse_hebbian_oja,1,0.2,12000,0.0981,completed,2.052405595779419
mnist,logistic_regression,1,0.5,30000,0.8666,completed,1.5472781658172607
mnist,mlp,1,0.5,30000,0.8872,completed,1.7945261001586914
mnist,cnn,1,0.5,30000,0.1419,completed,4.946329355239868
mnist,hebbian_oja,1,0.5,30000,0.1119,completed,3.1684515476226807
mnist,sparse_hebbian_oja,1,0.5,30000,0.1006,completed,3.1783175468444824
mnist,logistic_regression,1,1.0,60000,0.8973,completed,2.655365228652954
mnist,mlp,1,1.0,60000,0.9163,completed,2.892455816268921
mnist,cnn,1,1.0,60000,0.227,completed,8.520586252212524
mnist,hebbian_oja,1,1.0,60000,0.1277,completed,5.48919677734375
mnist,sparse_hebbian_oja,1,1.0,60000,0.1035,completed,3.98435640335083
mnist,logistic_regression,2,0.05,3000,0.7893,completed,0.1183931827545166
mnist,mlp,2,0.05,3000,0.7445,completed,0.2848148345947265
mnist,cnn,2,0.05,3000,0.0989,completed,0.4298672676086426
mnist,hebbian_oja,2,0.05,3000,0.0513,completed,0.9003009796142578
mnist,sparse_hebbian_oja,2,0.05,3000,0.1032,completed,1.21576189994812
mnist,logistic_regression,2,0.2,12000,0.8263,completed,0.5499799251556396
mnist,mlp,2,0.2,12000,0.8219,completed,0.5104618072509766
mnist,cnn,2,0.2,12000,0.11,completed,2.05849027633667
mnist,hebbian_oja,2,0.2,12000,0.1078,completed,2.451089382171631
mnist,sparse_hebbian_oja,2,0.2,12000,0.1032,completed,2.2887656688690186
mnist,logistic_regression,2,0.5,30000,0.8685,completed,0.9879195690155028
mnist,mlp,2,0.5,30000,0.8836,completed,1.3640835285186768
mnist,cnn,2,0.5,30000,0.1644,completed,4.55593204498291
mnist,hebbian_oja,2,0.5,30000,0.0863,completed,2.7687289714813232
mnist,sparse_hebbian_oja,2,0.5,30000,0.1183,completed,3.2811596393585205
mnist,logistic_regression,2,1.0,60000,0.8975,completed,2.502914428710937
mnist,mlp,2,1.0,60000,0.9148,completed,3.9535982608795166
mnist,cnn,2,1.0,60000,0.1682,completed,8.245170593261719
mnist,hebbian_oja,2,1.0,60000,0.2011,completed,4.610137939453125
mnist,sparse_hebbian_oja,2,1.0,60000,0.1213,completed,4.275203943252564
mnist,logistic_regression,3,0.05,3000,0.7923,completed,0.2664985656738281
mnist,mlp,3,0.05,3000,0.7723,completed,0.1508352756500244
mnist,cnn,3,0.05,3000,0.1006,completed,0.3921706676483154
mnist,hebbian_oja,3,0.05,3000,0.0996,completed,1.3826677799224854
mnist,sparse_hebbian_oja,3,0.05,3000,0.1028,completed,1.200286626815796
mnist,logistic_regression,3,0.2,12000,0.8281,completed,0.5242643356323242
mnist,mlp,3,0.2,12000,0.8452,completed,0.6310744285583496
mnist,cnn,3,0.2,12000,0.1261,completed,1.890425205230713
mnist,hebbian_oja,3,0.2,12000,0.0948,completed,2.261452436447144
mnist,sparse_hebbian_oja,3,0.2,12000,0.1028,completed,2.304370403289795
mnist,logistic_regression,3,0.5,30000,0.868,completed,0.9826011657714844
mnist,mlp,3,0.5,30000,0.8846,completed,2.6074767112731934
mnist,cnn,3,0.5,30000,0.2428,completed,4.866333723068237
mnist,hebbian_oja,3,0.5,30000,0.0981,completed,3.4768526554107666
mnist,sparse_hebbian_oja,3,0.5,30000,0.1005,completed,3.312630176544189
mnist,logistic_regression,3,1.0,60000,0.8981,completed,2.514038324356079
mnist,mlp,3,1.0,60000,0.9136,completed,3.0775046348571777
mnist,cnn,3,1.0,60000,0.3334,completed,8.420615911483765
mnist,hebbian_oja,3,1.0,60000,0.1888,completed,4.461645841598511
mnist,sparse_hebbian_oja,3,1.0,60000,0.098,completed,4.572375297546387
mnist,logistic_regression,4,0.05,3000,0.7861,completed,1.2328529357910156
mnist,mlp,4,0.05,3000,0.799,completed,0.1443426609039306
mnist,cnn,4,0.05,3000,0.0973,completed,0.745790958404541
mnist,hebbian_oja,4,0.05,3000,0.0766,completed,1.7570321559906006
mnist,sparse_hebbian_oja,4,0.05,3000,0.098,completed,1.358215093612671
mnist,logistic_regression,4,0.2,12000,0.815,completed,0.536156415939331
mnist,mlp,4,0.2,12000,0.8397,completed,0.5123300552368164
mnist,cnn,4,0.2,12000,0.1061,completed,2.089395761489868
mnist,hebbian_oja,4,0.2,12000,0.1078,completed,2.2655696868896484
mnist,sparse_hebbian_oja,4,0.2,12000,0.0981,completed,2.31145453453064
mnist,logistic_regression,4,0.5,30000,0.8648,completed,1.0438337326049805
mnist,mlp,4,0.5,30000,0.8881,completed,1.4923934936523438
mnist,cnn,4,0.5,30000,0.1316,completed,4.3781821727752686
mnist,hebbian_oja,4,0.5,30000,0.1173,completed,3.208751678466797
mnist,sparse_hebbian_oja,4,0.5,30000,0.1152,completed,3.032622098922729
mnist,logistic_regression,4,1.0,60000,0.8955,completed,2.492325782775879
mnist,mlp,4,1.0,60000,0.9154,completed,3.1176443099975586
mnist,cnn,4,1.0,60000,0.1792,completed,9.991809368133543
mnist,hebbian_oja,4,1.0,60000,0.229,completed,4.207109689712524
mnist,sparse_hebbian_oja,4,1.0,60000,0.098,completed,4.245889663696289
fashion_mnist,logistic_regression,0,0.05,3000,0.6323,completed,0.1082065105438232
fashion_mnist,mlp,0,0.05,3000,0.6516,completed,0.1294844150543213
fashion_mnist,cnn,0,0.05,3000,0.1,completed,0.4615819454193115
fashion_mnist,hebbian_oja,0,0.05,3000,0.0877,completed,1.3481266498565674
fashion_mnist,sparse_hebbian_oja,0,0.05,3000,0.1009,completed,1.1591737270355225
fashion_mnist,logistic_regression,0,0.2,12000,0.6727,completed,0.3691160678863525
fashion_mnist,mlp,0,0.2,12000,0.6866,completed,0.5881593227386475
fashion_mnist,cnn,0,0.2,12000,0.1236,completed,2.0797269344329834
fashion_mnist,hebbian_oja,0,0.2,12000,0.1,completed,2.0891222953796387
fashion_mnist,sparse_hebbian_oja,0,0.2,12000,0.1091,completed,2.0455636978149414
fashion_mnist,logistic_regression,0,0.5,30000,0.7409,completed,1.149510383605957
fashion_mnist,mlp,0,0.5,30000,0.7632,completed,2.56490421295166
fashion_mnist,cnn,0,0.5,30000,0.1477,completed,4.33107328414917
fashion_mnist,hebbian_oja,0,0.5,30000,0.1144,completed,3.4601776599884038
fashion_mnist,sparse_hebbian_oja,0,0.5,30000,0.1049,completed,3.363081455230713
fashion_mnist,logistic_regression,0,1.0,60000,0.7908,completed,2.527495861053467
fashion_mnist,mlp,0,1.0,60000,0.8117,completed,3.0936508178710938
fashion_mnist,cnn,0,1.0,60000,0.279,completed,8.246000528335571
fashion_mnist,hebbian_oja,0,1.0,60000,0.1541,completed,4.159085750579834
fashion_mnist,sparse_hebbian_oja,0,1.0,60000,0.0977,completed,5.683869123458862
fashion_mnist,logistic_regression,1,0.05,3000,0.6265,completed,0.1418609619140625
fashion_mnist,mlp,1,0.05,3000,0.6619,completed,0.1373193264007568
fashion_mnist,cnn,1,0.05,3000,0.1208,completed,0.3852353096008301
fashion_mnist,hebbian_oja,1,0.05,3000,0.1121,completed,1.2245516777038574
fashion_mnist,sparse_hebbian_oja,1,0.05,3000,0.1,completed,1.0089399814605713
fashion_mnist,logistic_regression,1,0.2,12000,0.6768,completed,0.5387003421783447
fashion_mnist,mlp,1,0.2,12000,0.7056,completed,0.6035239696502686
fashion_mnist,cnn,1,0.2,12000,0.1033,completed,1.4775011539459229
fashion_mnist,hebbian_oja,1,0.2,12000,0.1342,completed,2.3330078125
fashion_mnist,sparse_hebbian_oja,1,0.2,12000,0.0688,completed,2.301571846008301
fashion_mnist,logistic_regression,1,0.5,30000,0.7356,completed,0.9582476615905762
fashion_mnist,mlp,1,0.5,30000,0.7674,completed,1.3501794338226318
fashion_mnist,cnn,1,0.5,30000,0.1118,completed,4.379108190536499
fashion_mnist,hebbian_oja,1,0.5,30000,0.1429,completed,2.8763058185577397
fashion_mnist,sparse_hebbian_oja,1,0.5,30000,0.1001,completed,2.6465654373168945
fashion_mnist,logistic_regression,1,1.0,60000,0.7902,completed,2.2856781482696533
fashion_mnist,mlp,1,1.0,60000,0.8116,completed,2.6935925483703613
fashion_mnist,cnn,1,1.0,60000,0.3801,completed,9.531508684158323
fashion_mnist,hebbian_oja,1,1.0,60000,0.182,completed,3.918443202972412
fashion_mnist,sparse_hebbian_oja,1,1.0,60000,0.1001,completed,4.054095029830933
fashion_mnist,logistic_regression,2,0.05,3000,0.5769,completed,0.0999159812927246
fashion_mnist,mlp,2,0.05,3000,0.6565,completed,0.1334469318389892
fashion_mnist,cnn,2,0.05,3000,0.1036,completed,0.4258973598480224
fashion_mnist,hebbian_oja,2,0.05,3000,0.1,completed,1.129692792892456
