dataset,model,seed,fraction,n_train,accuracy,status,time_sec
mnist,logistic_regression,0,0.05,3000,0.7861,completed,1.9201061725616455
mnist,mlp,0,0.05,3000,0.7822,completed,0.24668335914611816
mnist,cnn,0,0.05,3000,0.101,completed,1.2983059883117676
mnist,hebbian_oja,0,0.05,3000,0.1213,completed,1.474109172821045
mnist,sparse_hebbian_oja,0,0.05,3000,0.0974,completed,1.5082635879516602
mnist,logistic_regression,0,0.2,12000,0.8147,completed,0.9578704833984375
mnist,mlp,0,0.2,12000,0.8436,completed,0.9329426288604736
mnist,cnn,0,0.2,12000,0.101,completed,5.364975452423096
mnist,hebbian_oja,0,0.2,12000,0.0897,completed,3.8084423542022705
mnist,sparse_hebbian_oja,0,0.2,12000,0.0994,completed,3.344594955444336
mnist,logistic_regression,0,0.5,30000,0.8631,completed,1.6753709316253662
mnist,mlp,0,0.5,30000,0.8852,completed,2.420650005340576
mnist,cnn,0,0.5,30000,0.2818,completed,7.208008766174316
mnist,hebbian_oja,0,0.5,30000,0.1092,completed,4.53131628036499
mnist,sparse_hebbian_oja,0,0.5,30000,0.1212,completed,3.2915852069854736
mnist,logistic_regression,0,1.0,60000,0.8946,completed,2.5352110862731934
mnist,mlp,0,1.0,60000,0.9145,completed,2.7996160984039307
mnist,cnn,0,1.0,60000,0.3263,completed,8.740102529525757
mnist,hebbian_oja,0,1.0,60000,0.3297,completed,3.7120511531829834
mnist,sparse_hebbian_oja,0,1.0,60000,0.1664,completed,3.918292284011841
mnist,logistic_regression,1,0.05,3000,0.7597,completed,0.10751676559448242
mnist,mlp,1,0.05,3000,0.7721,completed,0.13036251068115234
mnist,cnn,1,0.05,3000,0.0984,completed,0.40341925621032715
mnist,hebbian_oja,1,0.05,3000,0.0927,completed,0.9951615333557129
mnist,sparse_hebbian_oja,1,0.05,3000,0.0982,completed,1.0926053524017334
mnist,logistic_regression,1,0.2,12000,0.8256,completed,0.3563265800476074
mnist,mlp,1,0.2,12000,0.8437,completed,0.6115119457244873
mnist,cnn,1,0.2,12000,0.1327,completed,3.0223798751831055
mnist,hebbian_oja,1,0.2,12000,0.0845,completed,2.2168707847595215
mnist,sparse_hebbian_oja,1,0.2,12000,0.0981,completed,2.052405595779419
mnist,logistic_regression,1,0.5,30000,0.8666,completed,1.5472781658172607
mnist,mlp,1,0.5,30000,0.8872,completed,1.7945261001586914
mnist,cnn,1,0.5,30000,0.1419,completed,4.946329355239868
mnist,hebbian_oja,1,0.5,30000,0.1119,completed,3.1684515476226807
mnist,sparse_hebbian_oja,1,0.5,30000,0.1006,completed,3.1783175468444824
mnist,logistic_regression,1,1.0,60000,0.8973,completed,2.655365228652954
