dataset,model,fraction,accuracy_mean,accuracy_std,n
fashion_mnist,cnn,0.05,0.11424000000000001,0.015820493039093317,5
fashion_mnist,cnn,0.2,0.11038,0.010068614601820848,5
fashion_mnist,cnn,0.5,0.15617999999999999,0.06214158832859037,5
fashion_mnist,cnn,1.0,0.3406,0.037731750555732226,5
fashion_mnist,hebbian_oja,0.05,0.09102,0.03685982908262055,5
fashion_mnist,hebbian_oja,0.2,0.10491999999999999,0.018234226059803037,5
fashion_mnist,hebbian_oja,0.5,0.11172,0.018457166629794505,5
fashion_mnist,hebbian_oja,1.0,0.14582,0.027530292406728992,5
fashion_mnist,logistic_regression,0.05,0.6296999999999999,0.033592558699807304,5
fashion_mnist,logistic_regression,0.2,0.68524,0.012045248025673878,5
fashion_mnist,logistic_regression,0.5,0.74376,0.007198124755795747,5
fashion_mnist,logistic_regression,1.0,0.79352,0.0034549963820531024,5
fashion_mnist,mlp,0.05,0.6551,0.0048461324785854035,5
fashion_mnist,mlp,0.2,0.6915199999999999,0.008759680359465184,5
fashion_mnist,mlp,0.5,0.76606,0.0025996153561632443,5
fashion_mnist,mlp,1.0,0.8115,0.0024576411454889013,5
fashion_mnist,sparse_hebbian_oja,0.05,0.11974,0.04358259973888661,5
fashion_mnist,sparse_hebbian_oja,0.2,0.07188,0.03925973764558291,5
fashion_mnist,sparse_hebbian_oja,0.5,0.10144,0.0042092754720973085,5
fashion_mnist,sparse_hebbian_oja,1.0,0.10058,0.0021288494545176344,5
mnist,cnn,0.05,0.09924,0.001543696861433622,5
mnist,cnn,0.2,0.11517999999999999,0.013569708913606069,5
mnist,cnn,0.5,0.19249999999999998,0.06626341373639,5
mnist,cnn,1.0,0.24681999999999998,0.0789929870304953,5
mnist,hebbian_oja,0.05,0.0883,0.026181768465861892,5
mnist,hebbian_oja,0.2,0.09692,0.010578610494767257,5
mnist,hebbian_oja,0.5,0.10456000000000001,0.012378125867836378,5
mnist,hebbian_oja,1.0,0.21526,0.0739132802681629,5
mnist,logistic_regression,0.05,0.7827,0.013113351974228415,5
mnist,logistic_regression,0.2,0.82194,0.0065370482635514,5
mnist,logistic_regression,0.5,0.8662000000000001,0.002250555486985407,5
mnist,logistic_regression,1.0,0.8966,0.001479864858694873,5
mnist,mlp,0.05,0.7740199999999999,0.01980522658289977,5
mnist,mlp,0.2,0.8388199999999999,0.009675071059170587,5
mnist,mlp,0.5,0.88574,0.0018622566955175447,5
mnist,mlp,1.0,0.9149200000000001,0.0010084641788383243,5
mnist,sparse_hebbian_oja,0.05,0.09992,0.0028305476501906857,5
mnist,sparse_hebbian_oja,0.2,0.10032,0.002507389080298465,5
mnist,sparse_hebbian_oja,0.5,0.11116,0.009915291221139195,5
mnist,sparse_hebbian_oja,1.0,0.11743999999999999,0.028991947157788477,5
