dataset,model,seed,sparsity
digits,mlp,0,0.2243055555555555
digits,mlp_dropout,0,0.3814670138888889
digits,cnn,0,0.1414134837962962
digits,hebbian_oja,0,0.4398003472222222
digits,sparse_hebbian_oja,0,0.90625
digits,mlp,1,0.1706814236111111
digits,mlp_dropout,1,0.4347005208333333
digits,cnn,1,0.1495225694444444
digits,hebbian_oja,1,0.441796875
digits,sparse_hebbian_oja,1,0.90625
digits,mlp,2,0.2532769097222222
digits,mlp_dropout,2,0.4346137152777777
digits,cnn,2,0.1904079861111111
digits,hebbian_oja,2,0.4403211805555556
digits,sparse_hebbian_oja,2,0.90625
digits,mlp,3,0.2262369791666666
digits,mlp_dropout,3,0.4777560763888889
digits,cnn,3,0.2235894097222222
digits,hebbian_oja,3,0.3838975694444444
digits,sparse_hebbian_oja,3,0.90625
digits,mlp,4,0.2835720486111111
digits,mlp_dropout,4,0.3884765625
digits,cnn,4,0.1709490740740741
digits,hebbian_oja,4,0.3230034722222222
digits,sparse_hebbian_oja,4,0.90625
fashion_mnist,cnn,-1,0.3547885596752166
fashion_mnist,hebbian_oja,-1,0.0563490625
fashion_mnist,logistic_regression,-1,
fashion_mnist,mlp,-1,0.2149873465299606
fashion_mnist,mlp_dropout,-1,0.3645399332046508
fashion_mnist,pca_features_linear,-1,
fashion_mnist,random_features_linear,-1,0.4954696875
fashion_mnist,sparse_hebbian_oja,-1,0.90625
mnist,cnn,-1,0.4015661418437958
mnist,hebbian_oja,-1,0.02156875
mnist,logistic_regression,-1,
mnist,mlp,-1,0.1403221731384594
mnist,mlp_dropout,-1,0.2094342162211735
mnist,pca_features_linear,-1,
mnist,random_features_linear,-1,0.4974309375
mnist,sparse_hebbian_oja,-1,0.90625
