dataset,model,sparsity_mean,sparsity_std,n
digits,cnn,0.17517650462962958,0.03313511937131405,5
digits,hebbian_oja,0.40576388888888887,0.05238913409329768,5
digits,mlp,0.23161458333333332,0.04172536713449555,5
digits,mlp_dropout,0.42340277777777774,0.03932573582992818,5
digits,sparse_hebbian_oja,0.90625,0.0,5
fashion_mnist,cnn,0.3547885596752166,0.0,1
fashion_mnist,hebbian_oja,0.0563490625,0.0,1
fashion_mnist,logistic_regression,,0.0,0
fashion_mnist,mlp,0.2149873465299606,0.0,1
fashion_mnist,mlp_dropout,0.3645399332046508,0.0,1
fashion_mnist,pca_features_linear,,0.0,0
fashion_mnist,random_features_linear,0.4954696875,0.0,1
fashion_mnist,sparse_hebbian_oja,0.90625,0.0,1
mnist,cnn,0.4015661418437958,0.0,1
mnist,hebbian_oja,0.02156875,0.0,1
mnist,logistic_regression,,0.0,0
mnist,mlp,0.1403221731384594,0.0,1
mnist,mlp_dropout,0.2094342162211735,0.0,1
mnist,pca_features_linear,,0.0,0
mnist,random_features_linear,0.4974309375,0.0,1
mnist,sparse_hebbian_oja,0.90625,0.0,1
