dataset,model,seed,accuracy,train_time_s,param_count,activation_sparsity,epochs
mnist,standard_cnn,0,0.9715,16.53620743751526,215370,0.4211203125,2
mnist,standard_cnn,1,0.9762,17.186672925949097,215370,0.4048421875,2
mnist,standard_cnn,2,0.9752,16.257052898406982,215370,0.3743796875,2
mnist,standard_cnn,3,0.9725,16.801640033721924,215370,0.44353046875,2
mnist,standard_cnn,4,0.9743,16.85895872116089,215370,0.37185078125,2
fashion_mnist,standard_cnn,0,0.8426,16.643325805664062,215370,0.4296546875,2
fashion_mnist,standard_cnn,1,0.8417,16.555593252182007,215370,0.43201953125,2
fashion_mnist,standard_cnn,2,0.8319,17.281386613845825,215370,0.51683984375,2
fashion_mnist,standard_cnn,3,0.8314,16.76869034767151,215370,0.31334765625,2
fashion_mnist,standard_cnn,4,0.8386,16.965867280960083,215370,0.47705078125,2
digits,standard_cnn,0,0.9777777777777777,3.467752456665039,31050,0.37139756944444446,100
digits,standard_cnn,1,0.9722222222222222,3.235383987426758,31050,0.2790581597222222,100
digits,standard_cnn,2,0.975,3.2713871002197266,31050,0.332421875,100
digits,standard_cnn,3,0.9638888888888889,3.3190231323242188,31050,0.3657769097222222,100
digits,standard_cnn,4,0.9805555555555555,3.252162456512451,31050,0.3259765625,100
