dataset,model,seed,accuracy
digits,logistic_regression,0,0.9555555555555556
digits,mlp,0,0.9694444444444444
digits,mlp_dropout,0,0.975
digits,compact_cnn,0,0.95
digits,hebbian_oja,0,0.6388888888888888
digits,sparse_hebbian_oja,0,0.35
digits,logistic_regression,1,0.9555555555555556
digits,mlp,1,0.975
digits,mlp_dropout,1,0.9694444444444444
digits,compact_cnn,1,0.9583333333333334
digits,hebbian_oja,1,0.6277777777777778
digits,sparse_hebbian_oja,1,0.25
digits,logistic_regression,2,0.9555555555555556
digits,mlp,2,0.9777777777777776
digits,mlp_dropout,2,0.9611111111111112
digits,compact_cnn,2,0.9555555555555556
digits,hebbian_oja,2,0.7555555555555555
digits,sparse_hebbian_oja,2,0.3555555555555555
digits,logistic_regression,3,0.9555555555555556
digits,mlp,3,0.9666666666666668
digits,mlp_dropout,3,0.9666666666666668
digits,compact_cnn,3,0.9472222222222222
digits,hebbian_oja,3,0.7527777777777778
digits,sparse_hebbian_oja,3,0.5388888888888889
digits,logistic_regression,4,0.9555555555555556
digits,mlp,4,0.9694444444444444
digits,mlp_dropout,4,0.9694444444444444
digits,compact_cnn,4,0.9472222222222222
digits,hebbian_oja,4,0.6833333333333333
digits,sparse_hebbian_oja,4,0.2972222222222222
digits,random_features_linear,0,0.9833333333333332
digits,pca_features_linear,0,0.95
digits,random_features_linear,1,0.975
digits,pca_features_linear,1,0.95
digits,random_features_linear,2,0.9722222222222222
digits,pca_features_linear,2,0.95
digits,random_features_linear,3,0.9777777777777776
digits,pca_features_linear,3,0.95
digits,random_features_linear,4,0.9777777777777776
digits,pca_features_linear,4,0.95
mnist,logistic_regression,0,0.8946
mnist,mlp,0,0.9145
mnist,compact_cnn,0,0.3263
mnist,hebbian_oja,0,0.3297
mnist,sparse_hebbian_oja,0,0.1664
mnist,logistic_regression,1,0.8973
mnist,mlp,1,0.9163
mnist,compact_cnn,1,0.227
mnist,hebbian_oja,1,0.1277
mnist,sparse_hebbian_oja,1,0.1035
mnist,logistic_regression,2,0.8975
mnist,mlp,2,0.9148
mnist,compact_cnn,2,0.1682
mnist,hebbian_oja,2,0.2011
mnist,sparse_hebbian_oja,2,0.1213
mnist,logistic_regression,3,0.8981
mnist,mlp,3,0.9136
mnist,compact_cnn,3,0.3334
mnist,hebbian_oja,3,0.1888
mnist,sparse_hebbian_oja,3,0.098
mnist,logistic_regression,4,0.8955
mnist,mlp,4,0.9154
mnist,compact_cnn,4,0.1792
mnist,hebbian_oja,4,0.229
mnist,sparse_hebbian_oja,4,0.098
fashion_mnist,logistic_regression,0,0.7908
fashion_mnist,mlp,0,0.8117
fashion_mnist,compact_cnn,0,0.279
fashion_mnist,hebbian_oja,0,0.1541
fashion_mnist,sparse_hebbian_oja,0,0.0977
fashion_mnist,logistic_regression,1,0.7902
fashion_mnist,mlp,1,0.8116
fashion_mnist,compact_cnn,1,0.3801
fashion_mnist,hebbian_oja,1,0.182
fashion_mnist,sparse_hebbian_oja,1,0.1001
fashion_mnist,logistic_regression,2,0.7977
fashion_mnist,mlp,2,0.8096
fashion_mnist,compact_cnn,2,0.3567
fashion_mnist,hebbian_oja,2,0.1511
fashion_mnist,sparse_hebbian_oja,2,0.1001
fashion_mnist,logistic_regression,3,0.7967
fashion_mnist,mlp,3,0.8092
fashion_mnist,compact_cnn,3,0.3492
fashion_mnist,hebbian_oja,3,0.1349
fashion_mnist,sparse_hebbian_oja,3,0.1015
fashion_mnist,logistic_regression,4,0.7922
fashion_mnist,mlp,4,0.8154
fashion_mnist,compact_cnn,4,0.338
fashion_mnist,hebbian_oja,4,0.107
fashion_mnist,sparse_hebbian_oja,4,0.1035
mnist,random_features_linear,0,0.6913
mnist,pca_features_linear,0,0.1911
mnist,mlp_dropout,0,0.8492
